effectiveDate,Close,Open,High,Low,Volume,NBP_Rate,NBP_No
2023-02-08,4.4074,4.4074,4.4118074,4.4029926,1000000,4.4074,027/A/NBP/2023
2023-02-09,4.4003,4.4003,4.404700299999999,4.395899699999999,1000000,4.4003,028/A/NBP/2023
2023-02-10,4.4565,4.4565,4.4609565,4.4520435,1000000,4.4565,029/A/NBP/2023
2023-02-13,4.4856,4.4856,4.4900856,4.4811144,1000000,4.4856,030/A/NBP/2023
2023-02-14,4.4463,4.4463,4.4507463,4.4418537,1000000,4.4463,031/A/NBP/2023
2023-02-15,4.4372,4.4372,4.4416372,4.4327628,1000000,4.4372,032/A/NBP/2023
2023-02-16,4.4601,4.4601,4.464560099999999,4.4556398999999995,1000000,4.4601,033/A/NBP/2023
2023-02-17,4.4888,4.4888,4.4932888,4.4843112000000005,1000000,4.4888,034/A/NBP/2023
2023-02-20,4.4515,4.4515,4.455951499999999,4.4470485,1000000,4.4515,035/A/NBP/2023
2023-02-21,4.4524,4.4524,4.4568524,4.4479476,1000000,4.4524,036/A/NBP/2023
2023-02-22,4.4687,4.4687,4.4731686999999996,4.4642313,1000000,4.4687,037/A/NBP/2023
2023-02-23,4.4873,4.4873,4.4917872999999995,4.4828127,1000000,4.4873,038/A/NBP/2023
2023-02-24,4.463,4.463,4.4674629999999995,4.458537,1000000,4.463,039/A/NBP/2023
2023-02-27,4.4697,4.4697,4.474169699999999,4.4652303,1000000,4.4697,040/A/NBP/2023
2023-02-28,4.4475,4.4475,4.451947499999999,4.443052499999999,1000000,4.4475,041/A/NBP/2023
2023-03-01,4.4094,4.4094,4.413809399999999,4.4049906,1000000,4.4094,042/A/NBP/2023
2023-03-02,4.4002,4.4002,4.404600199999999,4.3957998,1000000,4.4002,043/A/NBP/2023
2023-03-03,4.4341,4.4341,4.438534099999999,4.4296659,1000000,4.4341,044/A/NBP/2023
2023-03-06,4.4289,4.4289,4.433328899999999,4.4244711,1000000,4.4289,045/A/NBP/2023
2023-03-07,4.3981,4.3981,4.4024981,4.3937019,1000000,4.3981,046/A/NBP/2023
2023-03-08,4.4626,4.4626,4.467062599999999,4.4581374,1000000,4.4626,047/A/NBP/2023
2023-03-09,4.4356,4.4356,4.4400356,4.4311644,1000000,4.4356,048/A/NBP/2023
2023-03-10,4.4266,4.4266,4.431026599999999,4.422173399999999,1000000,4.4266,049/A/NBP/2023
2023-03-13,4.3906,4.3906,4.3949906,4.3862094,1000000,4.3906,050/A/NBP/2023
2023-03-14,4.3793,4.3793,4.383679299999999,4.3749207,1000000,4.3793,051/A/NBP/2023
2023-03-15,4.403,4.403,4.4074029999999995,4.398597,1000000,4.403,052/A/NBP/2023
2023-03-16,4.4248,4.4248,4.4292248,4.4203752000000005,1000000,4.4248,053/A/NBP/2023
2023-03-17,4.4202,4.4202,4.4246202,4.4157798,1000000,4.4202,054/A/NBP/2023
2023-03-20,4.413,4.413,4.417413,4.408587,1000000,4.413,055/A/NBP/2023
2023-03-21,4.3715,4.3715,4.3758715,4.3671285,1000000,4.3715,056/A/NBP/2023
2023-03-22,4.3467,4.3467,4.3510466999999995,4.3423533,1000000,4.3467,057/A/NBP/2023
2023-03-23,4.3011,4.3011,4.305401099999999,4.2967989,1000000,4.3011,058/A/NBP/2023
2023-03-24,4.3742,4.3742,4.378574199999999,4.3698258,1000000,4.3742,059/A/NBP/2023
2023-03-27,4.3518,4.3518,4.356151799999999,4.3474482,1000000,4.3518,060/A/NBP/2023
2023-03-28,4.33,4.33,4.33433,4.32567,1000000,4.33,061/A/NBP/2023
2023-03-29,4.3247,4.3247,4.3290247,4.3203753,1000000,4.3247,062/A/NBP/2023
2023-03-30,4.3043,4.3043,4.308604299999999,4.299995699999999,1000000,4.3043,063/A/NBP/2023
2023-03-31,4.2934,4.2934,4.2976934,4.2891066,1000000,4.2934,064/A/NBP/2023
2023-04-03,4.3168,4.3168,4.3211167999999995,4.3124832,1000000,4.3168,065/A/NBP/2023
2023-04-04,4.2855,4.2855,4.2897855,4.2812145,1000000,4.2855,066/A/NBP/2023
2023-04-05,4.2739,4.2739,4.2781739,4.2696261,1000000,4.2739,067/A/NBP/2023
2023-04-06,4.3033,4.3033,4.307603299999999,4.2989967,1000000,4.3033,068/A/NBP/2023
2023-04-07,4.2932,4.2932,4.297493199999999,4.2889067999999995,1000000,4.2932,069/A/NBP/2023
2023-04-11,4.2917,4.2917,4.295991699999999,4.2874083,1000000,4.2917,070/A/NBP/2023
2023-04-12,4.2713,4.2713,4.275571299999999,4.2670287,1000000,4.2713,071/A/NBP/2023
2023-04-13,4.2225,4.2225,4.226722499999999,4.2182775,1000000,4.2225,072/A/NBP/2023
2023-04-14,4.2042,4.2042,4.2084041999999995,4.1999958,1000000,4.2042,073/A/NBP/2023
2023-04-17,4.2261,4.2261,4.230326099999999,4.221873899999999,1000000,4.2261,074/A/NBP/2023
2023-04-18,4.2151,4.2151,4.219315099999999,4.2108849,1000000,4.2151,075/A/NBP/2023
2023-04-19,4.2244,4.2244,4.228624399999999,4.2201756,1000000,4.2244,076/A/NBP/2023
2023-04-20,4.2024,4.2024,4.2066023999999995,4.1981976,1000000,4.2024,077/A/NBP/2023
2023-04-21,4.2006,4.2006,4.2048005999999996,4.1963994,1000000,4.2006,078/A/NBP/2023
2023-04-24,4.1905,4.1905,4.194690499999999,4.1863095,1000000,4.1905,079/A/NBP/2023
2023-04-25,4.1649,4.1649,4.1690648999999995,4.1607351,1000000,4.1649,080/A/NBP/2023
2023-04-26,4.1557,4.1557,4.1598557,4.1515443,1000000,4.1557,081/A/NBP/2023
2023-04-27,4.1541,4.1541,4.158254099999999,4.1499459,1000000,4.1541,082/A/NBP/2023
2023-04-28,4.1753,4.1753,4.179475299999999,4.1711247,1000000,4.1753,083/A/NBP/2023
2023-05-02,4.1823,4.1823,4.186482299999999,4.1781177,1000000,4.1823,084/A/NBP/2023
2023-05-04,4.1547,4.1547,4.1588547,4.1505453,1000000,4.1547,085/A/NBP/2023
2023-05-05,4.1612,4.1612,4.1653611999999995,4.1570388,1000000,4.1612,086/A/NBP/2023
2023-05-08,4.1384,4.1384,4.142538399999999,4.134261599999999,1000000,4.1384,087/A/NBP/2023
2023-05-09,4.1609,4.1609,4.165060899999999,4.1567391,1000000,4.1609,088/A/NBP/2023
2023-05-10,4.1532,4.1532,4.157353199999999,4.1490468,1000000,4.1532,089/A/NBP/2023
2023-05-11,4.1414,4.1414,4.1455414,4.1372586,1000000,4.1414,090/A/NBP/2023
2023-05-12,4.1638,4.1638,4.1679638,4.1596362000000004,1000000,4.1638,091/A/NBP/2023
2023-05-15,4.149,4.149,4.153149,4.144851,1000000,4.149,092/A/NBP/2023
2023-05-16,4.1228,4.1228,4.126922799999999,4.1186772,1000000,4.1228,093/A/NBP/2023
2023-05-17,4.1504,4.1504,4.1545504,4.1462496,1000000,4.1504,094/A/NBP/2023
2023-05-18,4.1929,4.1929,4.1970928999999995,4.1887071,1000000,4.1929,095/A/NBP/2023
2023-05-19,4.2053,4.2053,4.2095053,4.2010947000000005,1000000,4.2053,096/A/NBP/2023
2023-05-22,4.1881,4.1881,4.1922881,4.1839119,1000000,4.1881,097/A/NBP/2023
2023-05-23,4.1634,4.1634,4.1675634,4.1592366,1000000,4.1634,098/A/NBP/2023
2023-05-24,4.1573,4.1573,4.1614572999999995,4.1531427,1000000,4.1573,099/A/NBP/2023
2023-05-25,4.1994,4.1994,4.203599399999999,4.1952006,1000000,4.1994,100/A/NBP/2023
2023-05-26,4.2156,4.2156,4.2198155999999996,4.2113844,1000000,4.2156,101/A/NBP/2023
2023-05-29,4.2234,4.2234,4.2276234,4.2191766,1000000,4.2234,102/A/NBP/2023
2023-05-30,4.2242,4.2242,4.228424199999999,4.219975799999999,1000000,4.2242,103/A/NBP/2023
2023-05-31,4.2559,4.2559,4.260155899999999,4.251644099999999,1000000,4.2559,104/A/NBP/2023
2023-06-01,4.2399,4.2399,4.2441398999999995,4.2356601,1000000,4.2399,105/A/NBP/2023
2023-06-02,4.1903,4.1903,4.194490299999999,4.186109699999999,1000000,4.1903,106/A/NBP/2023
2023-06-05,4.1933,4.1933,4.1974933,4.1891067,1000000,4.1933,107/A/NBP/2023
2023-06-06,4.1964,4.1964,4.200596399999999,4.1922036,1000000,4.1964,108/A/NBP/2023
2023-06-07,4.1887,4.1887,4.192888699999999,4.1845113,1000000,4.1887,109/A/NBP/2023
2023-06-09,4.1545,4.1545,4.158654499999999,4.150345499999999,1000000,4.1545,110/A/NBP/2023
2023-06-12,4.1169,4.1169,4.1210169,4.112783100000001,1000000,4.1169,111/A/NBP/2023
2023-06-13,4.1439,4.1439,4.1480439,4.1397561000000005,1000000,4.1439,112/A/NBP/2023
2023-06-14,4.1393,4.1393,4.1434393,4.1351607,1000000,4.1393,113/A/NBP/2023
2023-06-15,4.1203,4.1203,4.1244203,4.1161797,1000000,4.1203,114/A/NBP/2023
2023-06-16,4.0715,4.0715,4.0755715,4.0674285,1000000,4.0715,115/A/NBP/2023
2023-06-19,4.068,4.068,4.072067999999999,4.063931999999999,1000000,4.068,116/A/NBP/2023
2023-06-20,4.058,4.058,4.0620579999999995,4.053942,1000000,4.058,117/A/NBP/2023
2023-06-21,4.0648,4.0648,4.068864799999999,4.0607352,1000000,4.0648,118/A/NBP/2023
2023-06-22,4.033,4.033,4.037033,4.028967000000001,1000000,4.033,119/A/NBP/2023
2023-06-23,4.0893,4.0893,4.093389299999999,4.085210699999999,1000000,4.0893,120/A/NBP/2023
2023-06-26,4.0669,4.0669,4.0709669,4.062833100000001,1000000,4.0669,121/A/NBP/2023
2023-06-27,4.0481,4.0481,4.052148099999999,4.0440518999999995,1000000,4.0481,122/A/NBP/2023
2023-06-28,4.0719,4.0719,4.0759719,4.067828100000001,1000000,4.0719,123/A/NBP/2023
2023-06-29,4.0832,4.0832,4.087283199999999,4.0791167999999995,1000000,4.0832,124/A/NBP/2023
2023-06-30,4.1066,4.1066,4.110706599999999,4.1024934,1000000,4.1066,125/A/NBP/2023
2023-07-03,4.0714,4.0714,4.0754714,4.0673286,1000000,4.0714,126/A/NBP/2023
